Image Number,Category,Annotator,Expertise Level,Host,Version,NGT,NO,Annotation TP (objects),Annotation FP (objects),Annotation FN (objects),Annotation TN (objects),Segmentation TP (pixels),Segmentation FP (pixels),Segmentation TN (pixels),Segmentation FN (pixels),Segmentation Jaccard,Segmentation Precision,Segmentation Recall,Segmentation F1-Score,Segmentation Accuracy,Objects IoU,Image IoU,Mean - Annotation Time per Annotation (seconds)
N16,SAM,Annotator3,Expert,thumper epfl server,QuPath v4,14.0,10.0,11.0,0.0,3.0,0.0,103037.0,18131.0,4055586.0,17550.0,0.74278,0.85036,0.85446,0.85241,0.99149,0.79967,0.74278,3.7
N15,SAM,Annotator3,Expert,thumper epfl server,QuPath v4,16.0,9.0,8.0,1.0,8.0,0.0,58592.0,16558.0,4090368.0,28786.0,0.56373,0.77967,0.67056,0.72101,0.98919,0.78722,0.56373,2.66667
N21,SAM,Annotator3,Expert,thumper epfl server,QuPath v4,32.0,19.0,31.0,0.0,5.0,0.0,177963.0,64417.0,3929693.0,22231.0,0.67255,0.73423,0.88895,0.80422,0.97934,0.71518,0.67255,7.31579
N06,SAM,Annotator3,Expert,thumper epfl server,QuPath v4,5.0,4.0,4.0,0.0,1.0,0.0,62447.0,1494.0,4120572.0,9791.0,0.84695,0.97663,0.86446,0.91713,0.99731,0.89087,0.84695,3.75
N20,SAM,Annotator3,Expert,thumper epfl server,QuPath v4,19.0,11.0,13.0,0.0,6.0,0.0,102039.0,14664.0,4054398.0,23203.0,0.72934,0.87435,0.81473,0.84349,0.99097,0.83393,0.72934,2.54545
N09,SAM,Annotator3,Expert,thumper epfl server,QuPath v4,13.0,12.0,10.0,2.0,3.0,0.0,51808.0,23275.0,4100751.0,18470.0,0.55378,0.69001,0.73719,0.71282,0.99005,0.73735,0.55378,3.0
N12,SAM,Annotator3,Expert,thumper epfl server,QuPath v4,8.0,6.0,6.0,0.0,2.0,0.0,33679.0,9073.0,4144205.0,7347.0,0.67225,0.78778,0.82092,0.80401,0.99609,0.7602,0.67225,3.83333
N03,SAM,Annotator3,Expert,thumper epfl server,QuPath v4,1.0,1.0,1.0,0.0,0.0,0.0,16986.0,64.0,4174411.0,2843.0,0.85387,0.99625,0.85662,0.92117,0.99931,0.85387,0.85387,1.0
N11,SAM,Annotator3,Expert,thumper epfl server,QuPath v4,11.0,9.0,8.0,1.0,3.0,0.0,32666.0,6310.0,4141292.0,14036.0,0.6162,0.83811,0.69946,0.76253,0.99515,0.81518,0.6162,4.77778
N17,SAM,Annotator3,Expert,thumper epfl server,QuPath v4,29.0,17.0,22.0,2.0,8.0,0.0,149975.0,68172.0,3922384.0,53773.0,0.55154,0.6875,0.73608,0.71096,0.97093,0.669,0.55154,3.70588
N19,SAM,Annotator3,Expert,thumper epfl server,QuPath v4,49.0,21.0,36.0,1.0,15.0,0.0,203496.0,79943.0,3866318.0,44547.0,0.62044,0.71795,0.82041,0.76577,0.97032,0.7099,0.62044,1.71429
N07,SAM,Annotator2,Expert,thumper epfl server,QuPath v4,2.0,4.0,2.0,2.0,0.0,0.0,37326.0,8722.0,4146431.0,1825.0,0.77969,0.81059,0.95339,0.87621,0.99749,0.82937,0.77969,3.75
N13,SAM,Annotator2,Expert,thumper epfl server,QuPath v4,2.0,1.0,1.0,0.0,1.0,0.0,2364.0,861.0,4190130.0,949.0,0.56636,0.73302,0.71355,0.72316,0.99957,0.72828,0.56636,10.0
N08,SAM,Annotator2,Expert,thumper epfl server,QuPath v4,11.0,5.0,5.0,0.0,6.0,0.0,30979.0,4645.0,4127564.0,31116.0,0.46417,0.86961,0.4989,0.63404,0.99147,0.78701,0.46417,7.4
N18,SAM,Annotator2,Expert,thumper epfl server,QuPath v4,33.0,19.0,21.0,1.0,12.0,0.0,203963.0,78426.0,3859794.0,52121.0,0.60974,0.72228,0.79647,0.75756,0.96888,0.71927,0.60974,4.0
N14,SAM,Annotator2,Expert,thumper epfl server,QuPath v4,6.0,4.0,4.0,0.0,2.0,0.0,20972.0,2127.0,4162563.0,8642.0,0.66072,0.90792,0.70818,0.79571,0.99743,0.84873,0.66072,5.0
N10,SAM,Annotator2,Expert,thumper epfl server,QuPath v4,12.0,6.0,6.0,0.0,6.0,0.0,29270.0,5978.0,4132550.0,26506.0,0.47398,0.8304,0.52478,0.64313,0.99226,0.74787,0.47398,3.83333
N16,SAM,Annotator2,Expert,thumper epfl server,QuPath v4,14.0,14.0,14.0,1.0,1.0,0.0,110860.0,34858.0,4038859.0,9727.0,0.71318,0.76078,0.91934,0.83258,0.98937,0.75606,0.71318,3.57143
N15,SAM,Annotator2,Expert,thumper epfl server,QuPath v4,16.0,9.0,8.0,1.0,8.0,0.0,55678.0,13897.0,4093029.0,31700.0,0.54977,0.80026,0.63721,0.70949,0.98913,0.79787,0.54977,1.66667
N21,SAM,Annotator2,Expert,thumper epfl server,QuPath v4,32.0,19.0,29.0,0.0,7.0,0.0,172212.0,52918.0,3941192.0,27982.0,0.68038,0.76494,0.86023,0.80979,0.98071,0.74468,0.68038,3.42105
N06,SAM,Annotator2,Expert,thumper epfl server,QuPath v4,5.0,4.0,4.0,0.0,1.0,0.0,62296.0,1478.0,4120588.0,9942.0,0.84508,0.97682,0.86237,0.91604,0.99728,0.88891,0.84508,2.25
N20,SAM,Annotator2,Expert,thumper epfl server,QuPath v4,19.0,12.0,14.0,0.0,5.0,0.0,97432.0,14578.0,4054484.0,27810.0,0.69684,0.86985,0.77795,0.82134,0.98989,0.81273,0.69684,3.58333
N09,SAM,Annotator2,Expert,thumper epfl server,QuPath v4,13.0,6.0,6.0,0.0,7.0,0.0,37316.0,11515.0,4112511.0,32962.0,0.45622,0.76419,0.53098,0.62659,0.9894,0.70721,0.45622,4.33333
N12,SAM,Annotator2,Expert,thumper epfl server,QuPath v4,8.0,4.0,4.0,0.0,4.0,0.0,18094.0,4067.0,4149211.0,22932.0,0.40126,0.81648,0.44104,0.57271,0.99356,0.78615,0.40126,3.75
N03,SAM,Annotator2,Expert,thumper epfl server,QuPath v4,1.0,1.0,1.0,0.0,0.0,0.0,16908.0,117.0,4174358.0,2921.0,0.84769,0.99313,0.85269,0.91757,0.99928,0.84769,0.84769,4.0
N11,SAM,Annotator2,Expert,thumper epfl server,QuPath v4,11.0,9.0,8.0,1.0,3.0,0.0,32985.0,5871.0,4141731.0,13717.0,0.62741,0.8489,0.70629,0.77106,0.99533,0.79689,0.62741,4.0
N17,SAM,Annotator2,Expert,thumper epfl server,QuPath v4,29.0,24.0,26.0,3.0,7.0,0.0,153210.0,68925.0,3921631.0,50538.0,0.56188,0.68972,0.75196,0.71949,0.97152,0.68526,0.56188,4.41667
N19,SAM,Annotator2,Expert,thumper epfl server,QuPath v4,49.0,26.0,38.0,3.0,12.0,0.0,215640.0,118795.0,3827466.0,32403.0,0.58783,0.64479,0.86937,0.74042,0.96395,0.67175,0.58783,5.30769
N17,SAM corrected,Annotator4,Expert,thumper epfl server,QuPath v4,29.0,31.0,29.0,8.0,2.0,0.0,187328.0,107381.0,3883175.0,16420.0,0.60209,0.63564,0.91941,0.75163,0.97048,0.71181,0.60209,27.12903
N19,SAM corrected,Annotator4,Expert,thumper epfl server,QuPath v4,49.0,44.0,52.0,9.0,5.0,0.0,233351.0,160240.0,3786021.0,14692.0,0.57154,0.59288,0.94077,0.72736,0.95829,0.65336,0.57154,20.38636
N20,SAM corrected,Annotator4,Expert,thumper epfl server,QuPath v4,19.0,18.0,17.0,4.0,2.0,0.0,116544.0,30536.0,4038526.0,8698.0,0.74814,0.79239,0.93055,0.85593,0.99065,0.8056,0.74814,9.83333
N15,SAM corrected,Annotator4,Expert,thumper epfl server,QuPath v4,16.0,20.0,11.0,10.0,5.0,0.0,73633.0,52400.0,4054526.0,13745.0,0.52679,0.58424,0.84269,0.69006,0.98423,0.72959,0.52679,12.3
N16,SAM corrected,Annotator4,Expert,thumper epfl server,QuPath v4,14.0,18.0,14.0,5.0,0.0,0.0,112546.0,53348.0,4020369.0,8041.0,0.64706,0.67842,0.93332,0.78571,0.98536,0.71587,0.64706,13.66667
N13,SAM corrected,Annotator4,Expert,thumper epfl server,QuPath v4,2.0,1.0,1.0,0.0,1.0,0.0,2351.0,854.0,4190137.0,962.0,0.56419,0.73354,0.70963,0.72139,0.99957,0.72584,0.56419,15.0
N18,SAM corrected,Annotator4,Expert,thumper epfl server,QuPath v4,33.0,32.0,29.0,7.0,5.0,0.0,227343.0,148298.0,3789922.0,28741.0,0.5622,0.60521,0.88777,0.71975,0.95779,0.62156,0.5622,14.71875
